ObjectID,Tree Species,Diameter of Tree,Height of Tree,Condition,Site Factors,Type of Soil,Weather factors,Diameter of Failed Part,Length of Failed Part,Failed Part,Root Failure,Stem Failure,Branch Failure,Location and Percentage of Decay,Decay Present
1,PopulusTrichocarpa,27,90,Fair,None,Dirt,"Wind,Rain",5,20.0,BranchFailure,None,None,None,None,None
2,AcerMacrophyllum,34,40,Poor,None,Dirt,"Wind,Rain",12,40.0,StemFailure,None,CodominantAttachement,None,None,None
3,PseudotsugaMenziesii,30,135,Fair,"SoilCompaction,RemovalofNearbyTree",Dirt,Wind,30,135.0,RootFailure,"RootPlateLifted,CutRoots,MechanicalDamage",None,None,None,None
4,PseudotsugaMenziesii,30,110,Fair,"SoilCompaction,GradeChanges",Dirt,Wind,30,110.0,RootFailure,"RootPlateLifted,MechanicalDamage,DecayOrganismPresent",None,None,"Heartwood,Decay>50%",None
5,PrunusCerasifera,14,25,Fair,UrbanEnviroment,Clay,Wind,14,25.0,RootFailure,DecayOrganismPresent,None,None,"Heartwood,Decay>50%",GanoermaApplanatum
6,PiceaAbies,22,60,Fair,UrbanEnviroment,Clay,Wind,22,60.0,RootFailure,DecayOrganismPresent,None,None,"Heartwood,Decay<25%",None
7,PiceaOmorika,16,50,Good,UrbanEnviroment,Clay,Wind,16,50.0,RootFailure,DecayOrganismPresent,None,None,"Heartwood,Decay>25%",None
8,UlmusProcera,34,80,Fair,None,Dirt,"Wind,Rain",2,40.0,BranchFailure,None,None,None,None,None
9,AcerMacrophyllum,38,45,Poor,None,Dirt,"Wind,Rain",16,34.375,BranchFailure,None,None,None,None,None
10,SalixLasiandra,17,75,Poor,None,Dirt,"Wind,Rain",17,35.0,RootFailure,DecayOrganismPresent,None,None,None,GanoermaApplanatum
11,PseudotsugaMenziesii,21,80,Good,None,Dirt,"Wind,Rain",2,15.833333333333334,BranchFailure,None,None,None,None,None
12,AlnusRubra,12,40,Poor,None,Dirt,"Wind,Rain",12,58.63636363636363,RootFailure,None,None,None,None,None
13,AcerMacrophyllum,35,65,Poor,None,Dirt,"Wind,Rain",35,57.333333333333336,StemFailure,None,DecayPresent,None,None,KretzchmariaDuesta
14,AlnusRubra,15,35,Poor,None,Dirt,"Wind,Rain",7,51.0,StemFailure,None,None,None,None,None
15,SalixScouleriana,10,20,Poor,None,Dirt,"Wind,Rain",10,49.1165611814346,StemFailure,None,None,None,None,None
16,AcerMacrophyllum,28,50,Dead,None,Dirt,Wind,26,57.333333333333336,StemFailure,None,None,None,None,KretzchmariaDuesta
17,AcerMacrophyllum,20,65,Fair,None,Dirt,Wind,10,57.333333333333336,StemFailure,None,None,None,None,KretzchmariaDuesta
18,ArbutusMenziesii,20,65,Poor,None,Dirt,"Wind,Rain",70,65.38950786056049,RootFailure,None,None,None,None,None
19,AcerMacrophyllum,48,75,Good,None,Dirt,"Wind,Rain",10,34.375,BranchFailure,None,None,None,None,None
20,AcerMacrophyllum,50,75,Poor,None,Dirt,"Wind,Rain",16,34.375,BranchFailure,None,None,DecayPresent,None,KretzchmariaDuesta
21,ArbutusMenziesii,16,50,Fair,None,Dirt,"Wind,Rain",5,19.5,BranchFailure,None,None,None,None,None
22,AlnusRubra,18,25,Good,None,Dirt,None,15,51.0,StemFailure,None,None,None,None,None
23,AcerMacrophyllum,29,60,Poor,None,Dirt,"Wind,Rain",25,57.333333333333336,StemFailure,None,"CodominantAttachement,DecayPresent",None,None,"ArmillariaSpp.,KretzchmariaDuesta"
24,AcerMacrophyllum,52,70,Fair,NaturalArea,Dirt,"Wind,Rain",25,57.333333333333336,StemFailure,None,None,None,None,None
25,AcerMacrophyllum,26,70,Fair,NaturalArea,Dirt,"Wind,Rain",26,58.63636363636363,RootFailure,None,None,None,None,None
26,TsugaHeterophylla,20,50,Poor,UrbanEnviroment,Clay,Wind,16,40.0,StemFailure,None,"Cavity,DecayPresent",None,"Heartwood,Decay>50%",None
27,TsugaHeterophylla,80,80,Fair,UrbanEnviroment,Clay,Wind,80,80.0,RootFailure,DecayOrganismPresent,None,None,"Heartwood,Sapwood,Decay>75%",None
28,AlnusRubra,50,60,Fair,SoilCompaction,Loam,Wind,50,60.0,RootFailure,DecayOrganismPresent,None,None,None,None
29,PopulusTrichocarpa,60,80,Good,NaturalArea,Silt,Wind,60,80.0,RootFailure,None,None,None,None,None
30,PseudotsugaMenziesii,30,80,Fair,"UrbanEnviroment,SoilCompaction",Clay,Wind,30,80.0,RootFailure,"CutRoots,DecayOrganismPresent",None,None,None,None
31,CatalpaBignonioides,35,70,Fair,"UrbanEnviroment,SoilCompaction",Clay,Wind,85,70.0,RootFailure,DecayOrganismPresent,None,None,None,None
32,PiceaAbies,25,70,Good,UrbanEnviroment,Loam,Wind,25,70.0,RootFailure,"SoilFailure,RootPlateLifted",None,None,None,None
33,PiceaAbies,25,60,Good,UrbanEnviroment,Sandy,Wind,16,40.0,StemFailure,None,None,None,None,None
34,PiceaAbies,30,70,Fair,"UrbanEnviroment,SoilCompaction",Clay,Wind,30,70.0,RootFailure,DecayOrganismPresent,None,None,None,None
35,PopulusTrichocarpa,30,80,Fair,"NaturalArea,SoilCompaction",Loam,Wind,30,80.0,StemFailure,None,"Cavity,DecayPresent",None,Decay>75%,None
36,PopulusTrichocarpa,35,80,Good,NaturalArea,Loam,Wind,35,80.0,RootFailure,"SoilFailure,RootPlateLifted",None,None,None,None
37,QuercusAlba,20,60,Poor,"UrbanEnviroment,SoilCompaction",Clay,Wind,20,60.0,StemFailure,None,"CodominantAttachement,IncludedBark,DecayPresent",None,"Heartwood,Sapwood,Decay>75%",None
38,FraxinusAmericana,30,70,Good,UrbanEnviroment,Silt,Wind,30,70.0,StemFailure,None,"BreakatAttachment,CodominantAttachement",None,None,None
39,ArbutusMenziesii,42,55,Good,None,Dirt,"Wind,Rain",3,15.0,BranchFailure,None,None,None,None,None
40,AlnusRubra,16,60,Fair,None,Dirt,"Wind,Rain",12,30.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
41,PseudotsugaMenziesii,37,100,Good,None,Dirt,"Wind,Rain",3,15.0,BranchFailure,None,None,None,None,None
42,AcerMacrophyllum,28,65,Fair,"UrbanEnviroment,SoilCompaction",Dirt,"Wind,Rain",10,25.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchAngledUp,DecayPresent","Heartwood,Decay>75%",None
43,ArbutusMenziesii,32,50,Good,"UrbanEnviroment,SoilCompaction",Clay,"Wind,Rain",13,30.0,StemFailure,None,"DidNotBreakatAttachment,UncorrectedTreeLean",None,None,None
44,PseudotsugaMenziesii,34,100,Good,UrbanEnviroment,Dirt,"Wind,Rain",4,25.0,BranchFailure,None,None,"BranchHorizontal,LionTailing",None,None
45,PseudotsugaMenziesii,32,100,Good,UrbanEnviroment,Dirt,"Wind,Rain",2,15.0,BranchFailure,None,None,BranchHorizontal,None,None
46,AcerMacrophyllum,24,60,Poor,"NaturalArea,SteepSlope,GradeChanges",Clay,"Rain,Wind",40,60.0,RootFailure,SoilFailure,None,None,None,None
47,AcerMacrophyllum,10,35,Fair,"NaturalArea,SteepSlope",Clay,"Wind,Rain",20,58.63636363636363,RootFailure,"RootPlateLifted,UncorrectedTreeLean",None,None,None,None
48,AcerMacrophyllum,16,60,Fair,"NaturalArea,SteepSlope",Dirt,"Wind,Rain",7,25.0,BranchFailure,None,None,"BranchAngledUp,BreakatAttachment",None,None
49,AcerMacrophyllum,53,70,Fair,"NaturalArea,SoilCompaction,SteepSlope",Dirt,"Wind,Rain",14,70.0,StemFailure,None,"CodominantAttachement,DecayPresent",None,"Heartwood,Decay>50%",None
50,AcerMacrophyllum,22,65,Good,SteepSlope,Loam,"Wind,Rain",22,65.0,RootFailure,"SoilFailure,RootPlateLifted",None,None,None,None
51,PseudotsugaMenziesii,22,80,Fair,"UrbanEnviroment,SoilCompaction,GradeChanges",Loam,"Wind,Rain",18,20.0,StemFailure,None,DecayPresent,None,"Heartwood,Decay>50%",None
52,FraxinusLatifolia,20,35,Poor,NaturalArea,Loam,"Wind,Rain",12,35.0,BranchFailure,None,None,"BreakatAttachment,BranchAngledUp,IncludedBark,DecayPresent",Decay<25%,None
53,AcerMacrophyllum,42,75,Poor,SteepSlope,Dirt,"Wind,Rain",20,70.0,StemFailure,None,"CodominantAttachement,Buldge,DecayPresent",None,"Heartwood,Decay>75%",KretzchmariaDuesta
54,QuercusGarryana,43,66,Fair,SoilCompaction,Clay,"Wind,Rain",28,66.0,RootFailure,"CorrectedTreeLean,DecayOrganismPresent",None,None,"Heartwood,Decay<25%",None
55,AlnusRubra,20,50,Fair,SteepSlope,Dirt,"Wind,Rain",30,50.0,RootFailure,SoilFailure,None,None,None,None
56,UlmusProcera,45,80,Good,UrbanEnviroment,Dirt,"Wind,Rain",15,40.0,BranchFailure,None,None,"BreakatAttachment,BranchAngledUp,OverExtendedBranch,LionTailing,ExcessiveWeight,ExcessivePruning,Buldge,CodominantAttachement,IncludedBark,DecayPresent","Heartwood,Decay>25%",None
57,PseudotsugaMenziesii,1,100,Good,None,Dirt,"Wind,Rain",1,10.0,BranchFailure,None,None,None,None,None
58,PopulusTrichocarpa,93,125,Poor,"NaturalArea,SoilCompaction",Sandy,"Wind,Rain",93,125.0,RootFailure,"SurfaceRootsWounded,RootPlateLifted,DecayOrganismPresent",None,None,"Heartwood,Decay>75%","ArmillariaSpp.,KretzchmariaDuesta"
59,SalixBabylonica,23,65,Good,"UrbanEnviroment,SoilCompaction",Dirt,"Wind,Rain",4,10.0,BranchFailure,None,None,None,None,None
60,AcerMacrophyllum,28,60,Poor,"NaturalArea,SoilCompaction,SteepSlope",Sandy,"Wind,Rain",28,60.0,RootFailure,"RootPlateLifted,DecayOrganismPresent",None,None,"Heartwood,Sapwood,Decay>25%",PerenniporiaSubacida
61,ThujaPlicata,28,55,Good,UrbanEnviroment,Dirt,"Wind,Rain",1,10.0,BranchFailure,None,None,BreakatAttachment,None,None
62,PseudotsugaMenziesii,36,100,Good,UrbanEnviroment,Dirt,Wind,2,10.0,BranchFailure,None,None,BreakatAttachment,None,None
63,AlnusRubra,14,50,Dead,"NaturalArea,SoilCompaction",Dirt,"Wind,Rain",10,40.0,StemFailure,None,StemwasDead,None,None,None
64,AcerMacrophyllum,8,35,Good,"NaturalArea,SteepSlope",Clay,"Wind,Rain",8,35.0,RootFailure,SoilFailure,None,None,None,None
65,PseudotsugaMenziesii,20,120,Good,NaturalArea,Clay,"Wind,Rain",1,10.0,BranchFailure,None,None,"BranchHorizontal,BreakatAttachment",None,None
66,PseudotsugaMenziesii,39,80,Good,UrbanEnviroment,Clay,Wind,39,80.0,RootFailure,"SoilFailure,RootPlateLifted",None,None,Decay<25%,None
67,PseudotsugaMenziesii,17,40,Poor,UrbanEnviroment,Clay,Wind,15,30.0,StemFailure,None,"Topping,DecayPresent",None,"Heartwood,Decay<25%",None
68,PiceaAbies,25,40,Good,UrbanEnviroment,Dirt,Wind,10,25.0,StemFailure,None,"BreakatAttachment,Topping",None,None,None
69,PopulusTremuloides,126,100,Poor,"SteepSlope,UrbanEnviroment,SoilCompaction",Clay,Wind,57,60.0,StemFailure,None,"CorrectedTreeLean,CodominantAttachement,BreakatAttachment,DecayPresent",None,Decay>75%,"ArmillariaSpp.,GanoermaApplanatum"
70,PseudotsugaMenziesii,23,90,Good,UrbanEnviroment,Clay,"Wind,Rain",23,85.0,StemFailure,None,None,None,None,None
71,PseudotsugaMenziesii,30,80,Good,UrbanEnviroment,Clay,"Wind,Rain",60,80.0,RootFailure,"RootPlateLifted,SoilFailure",None,None,None,None
72,PseudotsugaMenziesii,34,100,Good,NaturalArea,Dirt,"Wind,Rain",40,100.0,RootFailure,None,None,None,None,None
73,PseudotsugaMenziesii,71,82,Good,UrbanEnviroment,Loam,None,60,72.0,StemFailure,None,"CodominantAttachement,Topping",None,None,None
74,PseudotsugaMenziesii,51,100,Poor,NaturalArea,Clay,"Wind,Rain",68,25.0,StemFailure,None,"DidNotBreakatAttachment,Buldge,DecayPresent",None,"Heartwood,Decay>75%",PhaeolusSchweinitzii
75,PseudotsugaMenziesii,25,110,Good,"UrbanEnviroment,NaturalArea,SoilCompaction",Dirt,Wind,3,15.0,BranchFailure,None,None,"BreakatAttachment,BranchHorizontal",None,None
76,AcerMacrophyllum,69,80,Good,"NaturalArea,SteepSlope",Dirt,Wind,10,80.0,BranchFailure,None,None,"BreakatAttachment,BranchAngledUp,CodominantAttachement,IncludedBark",None,None
77,PinusMonticola,25,80,Good,SteepSlope,Dirt,Wind,25,75.0,StemFailure,None,Crack,None,Decay<25%,None
78,ChamaecyparisLawsoniana,32,65,Fair,UrbanEnviroment,Sandy,"Wind,Rain",80,65.0,RootFailure,"SoilFailure,RootPlateLifted",None,None,None,None
79,PinusContorta,10,25,Good,UrbanEnviroment,Clay,None,6,15.0,StemFailure,None,"BreakatAttachment,CodominantAttachement",None,None,None
80,PseudotsugaMenziesii,20,138,Good,"UrbanEnviroment,GradeChanges,RemovalofNearbyTree",Loam,"Wind,Rain",18,138.0,RootFailure,RootPlateLifted,None,None,None,None
81,TsugaHeterophylla,19,100,Dead,NaturalArea,Clay,"Wind,Rain",16,80.0,StemFailure,None,DidNotBreakatAttachment,None,"Heartwood,Decay>75%",PhaeolusSchweinitzii
82,TsugaHeterophylla,26,120,Poor,NaturalArea,Clay,"Wind,Rain",23,80.0,StemFailure,None,DidNotBreakatAttachment,None,"Heartwood,Decay>75%",PhaeolusSchweinitzii
83,TsugaHeterophylla,17,70,Fair,"NaturalArea,SoilCompaction",Clay,"Wind,Rain",16,80.0,StemFailure,None,"DidNotBreakatAttachment,DecayPresent",None,"Decay>50%,Heartwood","PhaeolusSchweinitzii,HeterobasidionOccidentale"
84,AcerMacrophyllum,23,85,Good,"UrbanEnviroment,RemovalofNearbyTree",Loam,"Wind,Rain",23,85.0,RootFailure,RootPlateLifted,None,None,None,None
85,TsugaHeterophylla,18,65,Dead,UrbanEnviroment,Loam,"Wind,Rain",18,62.0,StemFailure,None,StemwasDead,None,Decay100%,None
86,AcerMacrophyllum,36,90,Poor,"SteepSlope,NaturalArea",Dirt,"Wind,Rain",44,90.0,StemFailure,None,DecayPresent,None,"Heartwood,Decay>50%",KretzchmariaDuesta
87,AcerMacrophyllum,46,85,Poor,"NaturalArea,SteepSlope",Dirt,"Wind,Rain",23,40.0,BranchFailure,None,None,"BranchAngledUp,DecayPresent","Heartwood,Decay>50%",None
88,CedrusDeodara,40,75,Good,UrbanEnviroment,Dirt,"Wind,Rain",5,20.0,BranchFailure,None,None,"BranchHorizontal,BreakatAttachment",None,None
89,AcerMacrophyllum,45,80,Poor,"NaturalArea,UrbanEnviroment",Clay,"Wind,Rain",24,70.0,StemFailure,None,"BreakatAttachment,DecayPresent",None,"Heartwood,Decay>50%",KretzchmariaDuesta
90,AcerMacrophyllum,29,80,Poor,"NaturalArea,UrbanEnviroment",Clay,"Wind,Rain",18,70.0,StemFailure,None,DidNotBreakatAttachment,None,None,KretzchmariaDuesta
91,AcerMacrophyllum,14,65,Dead,UrbanEnviroment,Loam,"Wind,Rain",14,65.0,RootFailure,"RootPlateLifted,DecayOrganismPresent",None,None,Decay100%,ArmillariaSpp.
92,TsugaHeterophylla,16,65,Poor,UrbanEnviroment,Loam,"Wind,Rain",16,65.0,RootFailure,"RootPlateLifted,DecayOrganismPresent",None,None,Decay100%,ArmillariaSpp.
93,TsugaHeterophylla,18,70,Poor,UrbanEnviroment,Loam,"Wind,Rain",18,70.0,RootFailure,"RootPlateLifted,DecayOrganismPresent",None,None,Decay100%,ArmillariaSpp.
94,TsugaHeterophylla,14,60,Poor,UrbanEnviroment,Loam,"Wind,Rain",14,60.0,RootFailure,"RootPlateLifted,DecayOrganismPresent",None,None,Decay100%,ArmillariaSpp.
95,PseudotsugaMenziesii,18,50,Good,"UrbanEnviroment,SoilCompaction",Clay,Wind,18,50.0,RootFailure,"SoilFailure,RootPlateLifted",None,None,None,None
96,PseudotsugaMenziesii,30,80,Poor,"UrbanEnviroment,RemovalofNearbyTree",Clay,Wind,30,80.0,RootFailure,DecayOrganismPresent,None,None,Decay>50%,ArmillariaSpp.
97,ThujaPlicata,40,95,Good,None,Loam,Wind,30,80.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,IncludedBark,DecayPresent",None,"Heartwood,Decay<25%",None
98,PseudotsugaMenziesii,24,90,Fair,SoilCompaction,Clay,Wind,24,90.0,RootFailure,"RootPlateLifted,LowCrownRatio,DecayOrganismPresent",None,None,"Heartwood,Decay100%",None
99,TsugaHeterophylla,30,80,Fair,UrbanEnviroment,Dirt,"Wind,Rain",30,83.1,RootFailure,RootPlateLifted,None,None,None,None
100,AcerSaccharinum,9,40,Fair,UrbanEnviroment,Dirt,"Wind,Rain",10,40.0,RootFailure,RootPlateLifted,None,None,None,None
101,PopulusAlba,17,50,Poor,None,Dirt,None,17,65.38950786056049,RootFailure,None,None,None,None,None
102,PopulusNigra,22,40,Dead,None,Dirt,None,22,65.38950786056049,RootFailure,None,None,None,None,None
103,AcerRubrum,15,40,Dead,None,Dirt,None,15,49.1165611814346,StemFailure,None,StemwasDead,None,None,None
104,ArbutusMenziesii,12,14,Dead,None,Dirt,None,12,65.38950786056049,RootFailure,None,None,None,None,None
105,AcerPlatanoides,13,45,Good,"UrbanEnviroment,SoilCompaction",Clay,"Wind,Rain",12,45.0,RootFailure,RootPlateLifted,None,None,None,None
106,FraxinusPennsylvanica,12,35,Good,"UrbanEnviroment,SoilCompaction",Clay,"Wind,Rain",12,35.0,RootFailure,RootPlateLifted,None,None,None,None
107,TiliaTomentosa,30,60,Poor,UrbanEnviroment,Clay,None,30,60.0,RootFailure,None,None,None,Decay>50%,None
108,AcerMacrophyllum,3,30,Fair,"UrbanEnviroment,SoilEroded,SteepSlope",Dirt,"Wind,Rain",3,30.0,StemFailure,None,"BreakatAttachment,CodominantAttachement",None,None,None
109,CalocedrusDecurrens,26,65,Good,"UrbanEnviroment,GradeChanges,RemovalofNearbyTree",Sandy,"Wind,Rain",90,65.0,RootFailure,"SoilFailure,HeavyCanopyRelatedtoPoorPruning",None,None,None,None
110,ThujaPlicata,47,60,Fair,UrbanEnviroment,Dirt,Wind,18,40.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,IncludedBark,Topping,ExcessiveCanopyRaising,DecayPresent",None,"Sapwood,Decay<25%",None
111,TsugaHeterophylla,26,166,Good,RemovalofNearbyTree,Loam,"Wind,Rain",26,166.0,RootFailure,DecayOrganismPresent,None,None,Decay100%,ArmillariaSpp.
112,AcerMacrophyllum,36,70,Fair,"UrbanEnviroment,NaturalArea",Loam,Wind,36,65.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,DecayPresent",None,"Heartwood,Decay<25%",ArmillariaSpp.
113,PopulusTrichocarpa,26,70,Poor,None,Dirt,Wind,11,55.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
114,PseudotsugaMenziesii,18,80,Good,None,Dirt,Wind,2,15.833333333333334,BranchFailure,None,None,None,None,None
115,SalixLasiandra,10,30,Poor,None,Dirt,Wind,10,35.0,RootFailure,None,None,None,None,None
116,PopulusTrichocarpa,24,80,Fair,None,Dirt,Wind,4,20.0,BranchFailure,None,None,None,None,None
117,ChamaecyparisLawsoniana,24,35,Good,None,Dirt,Wind,24,65.0,RootFailure,None,None,None,None,None
118,PopulusTrichocarpa,22,50,Dead,NaturalArea,Dirt,Wind,8,25.0,BranchFailure,None,None,BranchwasDead,None,None
119,AcerMacrophyllum,16,40,Fair,None,Dirt,Wind,4,15.0,BranchFailure,None,None,None,None,None
120,ThujaPlicata,42,75,Good,"UrbanEnviroment,NaturalArea,SoilCompaction",Clay,"Wind,Rain",3,10.0,BranchFailure,None,None,"BreakatAttachment,BranchHorizontal",None,None
121,AcerMacrophyllum,50,70,Good,"NaturalArea,SoilCompaction",Dirt,"Wind,Rain",6,20.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
122,PseudotsugaMenziesii,35,100,Good,UrbanEnviroment,Dirt,Wind,4,15.0,BranchFailure,None,None,"BreakatAttachment,BranchHorizontal",None,None
123,AcerMacrophyllum,30,90,Fair,None,Dirt,Wind,27,60.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
124,AcerMacrophyllum,14,75,Poor,NaturalArea,Dirt,Wind,13,65.0,StemFailure,None,DecayPresent,None,"Heartwood,Decay>50%",None
125,AlnusRubra,18,60,Fair,None,Dirt,Wind,10,60.0,StemFailure,None,"CodominantAttachement,BreakatAttachment",None,None,None
126,RobiniaPseudoacacia,25,45,Fair,UrbanEnviroment,Loam,"Wind,Rain",25,45.0,RootFailure,"RootPlateLifted,SurfaceRootsWounded,DecayOrganismPresent",None,None,"Heartwood,Decay<25%",Other
127,PseudotsugaMenziesii,34,130,Fair,NaturalArea,Loam,Wind,15,50.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,IncludedBark",None,None,None
128,PseudotsugaMenziesii,21,90,Good,NaturalArea,Loam,Wind,21,90.0,StemFailure,None,None,None,None,None
129,AcerMacrophyllum,14,55,Poor,NaturalArea,Dirt,Wind,14,55.0,RootFailure,None,None,None,None,None
130,AlnusRubra,23,60,Fair,NaturalArea,Dirt,"Wind,Rain",23,60.0,RootFailure,"SoilFailure,RootPlateLifted,UncorrectedTreeLean",None,None,None,None
131,FraxinusOxycarpa,10,30,Good,UrbanEnviroment,Dirt,Wind,10,65.38950786056049,RootFailure,RootPlateLifted,None,None,None,None
132,PseudotsugaMenziesii,27,70,Good,None,Dirt,Wind,4,15.833333333333334,BranchFailure,None,None,None,None,None
133,AcerMacrophyllum,25,60,Fair,None,Dirt,Wind,16,57.333333333333336,StemFailure,None,None,None,None,None
134,PopulusDeltoids,27,60,Dead,None,Dirt,Wind,27,65.38950786056049,RootFailure,None,None,None,None,None
135,PopulusTrichocarpa,40,80,Fair,None,Dirt,Wind,30,67.5,StemFailure,None,None,None,None,None
136,TiliaCordata,22,50,Fair,None,Dirt,Wind,30,65.38950786056049,RootFailure,None,None,None,None,None
137,PiceaAbies,16,70,Dead,None,Dirt,"Wind,Rain",16,63.75,RootFailure,None,None,None,None,None
138,FraxinusAmericana,50,50,Poor,None,Dirt,"Wind,Rain",50,65.38950786056049,RootFailure,None,None,None,None,None
139,AcerMacrophyllum,57,80,Fair,None,Dirt,None,27,57.333333333333336,StemFailure,None,None,None,None,None
140,SalixLasiandra,24,40,Poor,None,Dirt,None,24,35.0,RootFailure,None,None,None,None,None
141,UlumusAmericana,52,70,Fair,None,Dirt,None,57,65.38950786056049,RootFailure,RootPlateLifted,None,None,None,None
142,AcerMacrophyllum,20,60,Fair,None,Dirt,None,7,57.333333333333336,StemFailure,None,None,None,None,None
143,PseudotsugaMenziesii,27,90,Good,None,Dirt,Wind,3,15.0,BranchFailure,None,None,BreakatAttachment,None,None
144,PinusMonticola,24,80,Fair,UrbanEnviroment,Dirt,Wind,13,40.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,IncludedBark",None,None,None
145,AcerMacrophyllum,26,75,Poor,NaturalArea,Clay,Wind,40,75.0,StemFailure,None,"DidNotBreakatAttachment,Cavity,DecayPresent",None,"Heartwood,Decay>75%",KretzchmariaDuesta
146,PseudotsugaMenziesii,22,80,Good,NaturalArea,Clay,"Wind,Rain",18,70.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
147,ChamecyparisPisifera,18,65,Good,UrbanEnviroment,Clay,"Wind,Rain",18,65.0,RootFailure,"RootPlateLifted,DecayOrganismPresent",None,None,"Heartwood,Decay>25%",None
148,ThujaPlicata,46,134,Good,"GradeChanges,RemovalofNearbyTree",Loam,"Wind,Rain",46,134.0,RootFailure,"SoilFailure,RootPlateLifted",None,None,None,None
149,PseudotsugaMenziesii,72,120,Fair,"SoilEroded,RemovalofNearbyTree",Silt,"Wind,Rain",72,60.0,RootFailure,RootPlateLifted,None,None,None,None
150,AlnusRubra,21,80,Dead,"SteepSlope,NaturalArea",Clay,"Wind,Rain",21,80.0,RootFailure,"SoilFailure,CorrectedTreeLean",None,None,None,PhytophthoraCactorum
151,AcerMacrophyllum,20,60,Dead,NaturalArea,Clay,Wind,20,55.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
152,PseudotsugaMenziesii,22,85,Fair,"UrbanEnviroment,NaturalArea",Clay,"Wind,Rain",20,70.0,StemFailure,None,"DidNotBreakatAttachment,DecayPresent",None,"Heartwood,Decay>50%","ArmillariaSpp.,PhaeolusSchweinitzii"
