ObjectID,Tree Species,Diameter of Tree,Height of Tree,Condition,Site Factors,Type of Soil,Weather factors,Diameter of Failed Part,Length of Failed Part,Failed Part,Root Failure,Stem Failure,Branch Failure,Location and Percentage of Decay,Decay Present
317,PinusMonticola,24,80,Fair,None,Dirt,Snow,9,30.0,StemFailure,None,"CodominantAttachement,DidNotBreakatAttachment",None,None,None
318,PrunusLaurocerasus,8,30,Good,None,Dirt,Snow,8,49.1165611814346,StemFailure,None,None,None,None,None
319,PinusContorta,8,30,Good,None,Dirt,Snow,4,20.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchHorizontal",None,None
320,PrunusCerasifera,6,25,Good,None,Dirt,Snow,4,15.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchHorizontal",None,None
321,SalixLasiandra,12,35,Good,None,Dirt,Snow,4,15.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchHorizontal",None,None
322,TsugaHeterophylla,14,55,Good,NaturalArea,Dirt,Snow,14,55.0,RootFailure,RootPlateLifted,None,None,None,None
323,PinusContorta,11,30,Good,None,Dirt,Snow,12,35.0,StemFailure,None,"DidNotBreakatAttachment,UncorrectedTreeLean",None,None,None
324,CupressusX,14,40,Good,None,Dirt,Snow,4,15.0,BranchFailure,None,None,None,None,None
325,PseudotsugaMenziesii,22,50,Good,Lawn,Dirt,Snow,20,4.0,RootFailure,BrokenRoots,None,None,Root,PhellinusWeirii
326,AbiesGrandis,20,45,Fair,NaturalArea,Dirt,Wind,20,80.0,RootFailure,RootPlateLifted,None,None,None,None
327,PinusMonticola,40,50,Good,None,Dirt,Snow,6,48.333333333333336,StemFailure,None,None,None,None,None
328,CedrusDeodara,31,40,Good,None,Dirt,Snow,9,21.666666666666668,BranchFailure,None,None,None,None,None
329,PseudotsugaMenziesii,37,100,Good,None,Dirt,Snow,8,15.833333333333334,BranchFailure,None,None,None,None,None
330,CedrusAtlantica,59,75,Good,None,Dirt,Snow,10,17.5,BranchFailure,None,None,None,None,None
331,UlmusProcera,19,40,Good,None,Dirt,Snow,2,40.0,BranchFailure,None,None,None,None,None
332,UlmusProcera,22,30,Good,None,Dirt,Snow,5,49.1165611814346,StemFailure,None,None,None,None,None
333,AlnusRubra,24,80,Fair,None,Dirt,Snow,24,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
334,AlnusRubra,48,80,Fair,None,Dirt,Snow,48,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
335,PinusResinosa,41,40,Dead,None,Dirt,Snow,41,65.38950786056049,RootFailure,None,None,None,None,None
336,PrunusAvium,6,25,Dead,None,Dirt,Snow,6,54.0,RootFailure,None,None,None,None,None
337,AcerMacrophyllum,12,25,Poor,None,Dirt,Snow,12,58.63636363636363,RootFailure,None,None,None,None,None
338,PseudotsugaMenziesii,26,90,Good,None,Dirt,Snow,6,15.833333333333334,BranchFailure,None,None,None,None,None
339,PinusNigra,14,25,Fair,None,Dirt,Snow,8,40.0,StemFailure,None,None,None,None,None
340,PinusNigra,12,40,Fair,None,Dirt,Snow,6,40.0,StemFailure,None,None,None,None,None
341,PinusContorta,21,30,Good,None,Dirt,Snow,4,12.5,BranchFailure,None,None,None,None,None
342,PinusContorta,21,45,Fair,None,Dirt,Snow,5,12.5,BranchFailure,None,None,None,None,None
343,AcerMacrophyllum,41,65,Fair,None,Dirt,Snow,27,57.333333333333336,StemFailure,None,None,None,None,None
344,PinusNigra,16,10,Dead,None,Dirt,Snow,14,40.0,StemFailure,None,None,None,None,None
345,AlnusRubra,45,35,Fair,None,Dirt,Snow,45,51.0,StemFailure,None,None,None,None,None
346,AcerMacrophyllum,36,50,Fair,NaturalArea,Dirt,Snow,50,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
347,SalixLasiandra,20,40,Good,"NaturalArea,SoilCompaction",Dirt,Snow,3,10.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchAngledUp",None,None
348,PseudotsugaMenziesii,48,120,Fair,"NaturalArea,SoilCompaction",Dirt,Snow,44,100.0,StemFailure,None,"DidNotBreakatAttachment,DecayPresent",None,"Heartwood,Decay>75%","PhaeolusSchweinitzii,PorodadaleaPini"
349,PseudotsugaMenziesii,20,802080,Fair,"NaturalArea,SoilCompaction",Dirt,Snow,20,80.0,RootFailure,RootPlateLifted,None,None,None,None
350,PseudotsugaMenziesii,30,65,Fair,"NaturalArea,SoilCompaction",Dirt,Snow,4,15.0,BranchFailure,None,None,None,None,None
351,PopulusTrichocarpa,26,85,Fair,None,Dirt,"Snow,Wind",26,92.0,RootFailure,RootPlateLifted,None,None,None,None
352,AlnusRubra,20,75,Fair,None,Dirt,Snow,20,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
353,AcerMacrophyllum,25,75,Fair,None,Dirt,Snow,20,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
354,TsugaHeterophylla,30,100,Fair,None,Dirt,Snow,20,100.0,RootFailure,SoilFailure,None,None,None,None
355,AlnusRubra,10,45,Fair,None,Dirt,Snow,10,40.0,StemFailure,None,UncorrectedTreeLean,None,None,None
356,AlnusRubra,14,60,Fair,None,Dirt,Snow,14,50.0,StemFailure,None,"UncorrectedTreeLean,CodominantAttachement,BreakatAttachment",None,None,None
357,PinusSylvestris,14,30,Poor,None,Dirt,Snow,14,65.38950786056049,RootFailure,None,None,None,None,None
358,AcerMacrophyllum,26,80,Fair,None,Dirt,Snow,21,57.333333333333336,StemFailure,None,None,None,None,None
359,CedrusDeodara,40,50,Good,None,Dirt,Snow,1,21.666666666666668,BranchFailure,None,None,None,None,None
360,PseudotsugaMenziesii,37,100,Good,None,Dirt,Snow,8,15.833333333333334,BranchFailure,None,None,None,None,None
361,TaxusBaccata,30,45,Good,None,Dirt,Snow,7,21.140229885057472,BranchFailure,None,None,None,None,None
362,CedrusDeodara,27,60,Good,None,Dirt,Snow,6,21.666666666666668,BranchFailure,None,None,None,None,None
363,AcerRubrum,20,45,Good,None,Dirt,Snow,3,21.140229885057472,BranchFailure,None,None,None,None,None
364,FraxinusLatifolia,13,30,Good,None,Dirt,Snow,2,27.5,BranchFailure,None,None,None,None,None
365,PinusSylvestris,18,20,Good,None,Dirt,Snow,8,18.333333333333332,StemFailure,None,None,None,None,None
366,CedrusDeodara,45,60,Good,None,Dirt,Snow,4,21.666666666666668,BranchFailure,None,None,None,None,None
367,PrunusEmarginata,30,60,Fair,None,Dirt,Snow,13,21.140229885057472,BranchFailure,None,None,None,None,None
368,PinusResinosa,17,35,Good,None,Dirt,Snow,6,49.1165611814346,StemFailure,None,None,None,None,None
369,AcerRubrum,18,40,Fair,None,Dirt,Snow,18,65.38950786056049,RootFailure,None,None,None,None,KretzchmariaDuesta
370,PopulusTrichocarpa,18,50,Fair,None,Dirt,Snow,5,22.5,BranchFailure,None,None,None,None,None
371,QuercusIlex,20,30,Good,None,Dirt,Snow,8,21.140229885057472,BranchFailure,None,None,None,None,None
372,TaxusBrevifolia,37,50,Good,None,Dirt,Snow,11,21.140229885057472,BranchFailure,None,None,None,None,None
373,TaxusBrevifolia,41,100,Good,None,Dirt,Snow,8,21.140229885057472,BranchFailure,None,None,None,None,None
374,ChamecyparisPisifera,37,85,Fair,None,Dirt,Snow,2,21.140229885057472,BranchFailure,None,None,None,None,None
375,AcerPalmatum,8,20,Good,None,Dirt,Snow,8,21.140229885057472,BranchFailure,None,None,None,None,None
376,PinusNigra,5,10,Poor,None,Dirt,Snow,2,40.0,StemFailure,None,None,None,None,None
377,CornusKuosa,7,15,Dead,None,Dirt,Snow,4,49.1165611814346,StemFailure,None,None,None,None,None
378,CorylusColurna,18,20,Good,None,Dirt,Snow,10,49.1165611814346,StemFailure,None,None,None,None,None
379,TaxusBrevifolia,20,20,Fair,None,Dirt,Snow,4,21.140229885057472,BranchFailure,None,None,None,None,None
380,PinusSylvestris,25,55,Good,None,Dirt,Snow,5,20.0,BranchFailure,None,None,None,None,None
381,PinusSylvestris,18,40,Good,None,Dirt,Snow,12,18.333333333333332,StemFailure,None,None,None,None,None
382,PrunusSerrulata,28,25,Fair,None,Dirt,Snow,4,49.1165611814346,StemFailure,None,None,None,None,None
383,AlnusRubra,22,60,Poor,None,Dirt,Snow,11,51.0,StemFailure,None,None,None,None,None
384,AlnusRubra,14,65,Poor,None,Dirt,Snow,14,58.63636363636363,RootFailure,None,None,None,None,None
385,AlnusRubra,39,65,Poor,None,Dirt,Snow,39,58.63636363636363,RootFailure,None,None,None,None,None
386,AcerRubrum,15,35,Fair,None,Dirt,Snow,6,21.140229885057472,BranchFailure,None,None,None,None,None
387,ThujaPlicata,26,85,Good,None,Dirt,Wind,10,40.0,StemFailure,None,"CodominantAttachement,IncludedBark,BreakatAttachment",None,None,None
388,AlnusRubra,29,50,Dead,NaturalArea,Dirt,Snow,24,35.0,StemFailure,None,"DidNotBreakatAttachment,DecayPresent",None,None,"GanoermaBrownii,PhytophthoraCactorum"
389,AcerMacrophyllum,31,65,Poor,UrbanEnviroment,Dirt,Snow,31,65.0,StemFailure,None,"CodominantAttachement,DecayPresent",None,Root,KretzchmariaDuesta
390,PseudotsugaMenziesii,20,100,Good,NaturalArea,Dirt,Snow,12,40.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
391,QuercusRubra,30,65,Good,None,Dirt,Snow,1,27.5,BranchFailure,None,None,None,None,None
392,QuercusPalustris,41,75,Good,None,Dirt,Snow,6,52.5,BranchFailure,None,None,None,None,None
393,CedrusAtlantica,70,70,Good,None,Dirt,Snow,4,17.5,BranchFailure,None,None,None,None,None
394,PinusSylvestris,28,50,Good,None,Dirt,Snow,8,20.0,BranchFailure,None,None,None,None,None
395,AcerMacrophyllum,27,50,Fair,None,Dirt,Snow,2,34.375,BranchFailure,None,None,None,None,None
396,CedrusDeodara,38,55,Good,None,Dirt,Snow,7,21.666666666666668,BranchFailure,None,None,None,None,None
397,AlnusRubra,14,20,Poor,None,Dirt,Snow,8,25.0,BranchFailure,None,None,None,None,None
398,ThujaPlicata,45,45,Good,None,Dirt,Snow,8,11.666666666666666,BranchFailure,None,None,None,None,None
399,ThujaPlicata,87,45,Good,None,Dirt,Snow,10,11.666666666666666,BranchFailure,None,None,None,None,None
400,PrunusSerrulata,37,50,Fair,None,Dirt,Snow,25,49.1165611814346,StemFailure,None,None,None,None,None
401,AlnusRubra,13,45,Poor,None,Dirt,None,14,58.63636363636363,RootFailure,None,None,None,None,None
402,AcerMacrophyllum,58,90,Fair,"NaturalArea,SoilCompaction,SteepSlope",Clay,Snow,12,60.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
403,ThujaPlicata,26,100,Good,"NaturalArea,SteepSlope",Clay,Snow,20,25.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,Seam,Buldge",None,None,None
404,AcerMacrophyllum,29,80,Poor,"NaturalArea,SoilCompaction,SteepSlope",Clay,Snow,22,40.0,StemFailure,None,"DidNotBreakatAttachment,DecayPresent",None,"Heartwood,Decay>75%",KretzchmariaDuesta
405,AcerMacrophyllum,68,95,Fair,"NaturalArea,SoilCompaction",Clay,Snow,24,50.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
406,CrataegusLaevigata,21,30,Fair,"SteepSlope,SoilCompaction,NaturalArea",Clay,None,21,30.0,StemFailure,None,"CodominantAttachement,IncludedBark",None,None,None
407,ArbutusMenziesii,22,25,Fair,"NaturalArea,SoilCompaction,SteepSlope",Clay,None,10,25.0,BranchFailure,None,None,BranchHorizontal,"Heartwood,Sapwood,Decay>50%",NeofusicoccumArbuti
408,PiceaPungens,20,45,Good,UrbanEnviroment,Dirt,Wind,20,20.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,IncludedBark,Crack",None,Decay>25%,None
409,AlnusRubra,24,65,Poor,NaturalArea,Dirt,Rain,24,65.0,RootFailure,"SoilFailure,RootPlateLifted",None,None,None,None
410,AcerMacrophyllum,32,65,Fair,None,Dirt,None,32,57.333333333333336,StemFailure,None,None,None,None,KretzchmariaDuesta
411,PinusNigra,26,30,Good,None,Dirt,None,4,25.0,BranchFailure,None,None,None,None,None
412,CornusNuttallii,16,30,Fair,None,Dirt,None,13,49.1165611814346,StemFailure,None,None,None,None,None
413,CedrusDeodara,38,50,Poor,None,Dirt,None,1,21.666666666666668,BranchFailure,None,None,None,None,None
414,PseudotsugaMenziesii,26,70,Good,None,Dirt,None,3,15.833333333333334,BranchFailure,None,None,None,None,None
415,CedrusDeodara,32,65,Good,None,Dirt,None,2,21.666666666666668,BranchFailure,None,None,None,None,None
416,PinusNigra,28,50,Poor,None,Dirt,None,28,65.38950786056049,RootFailure,None,None,None,None,None
417,PseudotsugaMenziesii,32,75,Good,None,Dirt,None,2,15.833333333333334,BranchFailure,None,None,None,None,None
418,AlnusRubra,8,45,Dead,None,Dirt,None,8,58.63636363636363,RootFailure,None,None,None,None,None
419,PinusMonticola,36,55,Good,None,Dirt,None,4,21.140229885057472,BranchFailure,None,None,None,None,None
420,PinusMonticola,34,55,Good,None,Dirt,None,2,21.140229885057472,BranchFailure,None,None,None,None,None
421,PseudotsugaMenziesii,26,50,Good,None,Dirt,None,2,15.833333333333334,BranchFailure,None,None,None,None,None
422,PinusSylvestris,24,25,Poor,None,Dirt,None,24,65.38950786056049,RootFailure,None,None,None,None,None
423,TsugaHeterophylla,36,70,Fair,None,Dirt,Snow,7,25.0,BranchFailure,None,None,"BranchHorizontal,DidNotBreakatAttachment",None,None
424,CedrusDeodara,38,55,Good,None,Dirt,None,6,21.666666666666668,BranchFailure,None,None,None,None,None
425,AcerMacrophyllum,40,75,Fair,None,Dirt,None,30,57.333333333333336,StemFailure,None,None,None,None,None
426,AlnusRubra,23,65,Poor,None,Dirt,None,23,58.63636363636363,RootFailure,DecayOrganismPresent,None,None,None,ArmillariaSpp.
427,AcerMacrophyllum,12,50,Poor,None,Dirt,None,12,58.63636363636363,RootFailure,None,None,None,None,None
428,PinusNigra,15,20,Dead,None,Dirt,None,13,40.0,StemFailure,None,None,None,None,None
429,CrataegusLaevigata,14,35,Dead,None,Dirt,None,2,21.140229885057472,BranchFailure,None,None,None,None,None
430,QuercusRubra,28,60,Fair,"NaturalArea,SoilCompaction,SteepSlope",Dirt,None,28,81.5,RootFailure,"BrokenRoots,DecayOrganismPresent",None,None,"Root,Decay>50%",None
431,RobiniaPseudoacacia,30,25,Poor,None,Dirt,None,30,49.1165611814346,StemFailure,None,None,None,None,None
432,CalocedrusDecurrens,24,60,Fair,None,Dirt,None,12,49.1165611814346,StemFailure,None,"BreakatAttachment,CodominantAttachement,IncludedBark",None,None,None
433,AcerPlatanoides,22,40,Poor,None,Dirt,None,22,45.0,RootFailure,BrokenRoots,None,None,None,KretzchmariaDuesta
434,AcerMacrophyllum,17,50,Fair,"SoilCompaction,NaturalArea",Dirt,"Rain,Wind",12,30.0,StemFailure,None,"UncorrectedTreeLean,ExcessiveCanopyRaising,DidNotBreakatAttachment",None,None,None
435,FraxinusLatifolia,20,55,Good,NaturalArea,Dirt,Snow,8,20.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchAngledDown",None,None
436,PseudotsugaMenziesii,27,100,Good,SteepSlope,Dirt,Snow,27,100.0,RootFailure,RootPlateLifted,None,None,None,None
437,CercidiphyllumJaponicum,27,50,Good,None,Dirt,Wind,16,40.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,IncludedBark,DecayPresent",None,"Heartwood,Decay<25%",None
438,QuercusGarryana,22,50,Good,"UrbanEnviroment,Lawn",Dirt,Snow,6,15.0,BranchFailure,None,None,"BranchAngledUp,DidNotBreakatAttachment",None,None
439,PseudotsugaMenziesii,35,120,Fair,SteepSlope,Clay,Snow,37,120.0,StemFailure,None,DecayPresent,None,Heartwood,"PhellinusHartigii,PhaeolusSchweinitzii"
440,PseudotsugaMenziesii,27,100,Good,"Lawn,UrbanEnviroment",Dirt,Snow,3,20.0,BranchFailure,None,None,None,None,None
441,CedrusAtlantica,38,65,Good,None,Dirt,"Rain,Wind",9,17.5,BranchFailure,None,None,None,None,None
442,QuercusCoccinea,32,45,Fair,None,Dirt,"Wind,Rain",1,21.140229885057472,BranchFailure,None,None,None,None,None
443,QuercusPalustris,11,35,Fair,None,Dirt,"Wind,Rain",1,52.5,BranchFailure,None,None,None,None,None
444,CedrusDeodara,45,60,Fair,None,Dirt,"Wind,Rain",4,21.666666666666668,BranchFailure,None,None,None,None,None
445,AcerMacrophyllum,42,75,Fair,None,Dirt,None,25,57.333333333333336,StemFailure,None,None,None,None,None
446,ChamaecyparisLawsoniana,20,50,Poor,None,Dirt,None,8,21.140229885057472,BranchFailure,None,None,None,None,None
447,AlnusRubra,14,80,Dead,None,Dirt,None,14,58.63636363636363,RootFailure,None,None,None,None,None
448,AlnusRubra,14,75,Dead,None,Dirt,None,14,58.63636363636363,RootFailure,None,None,None,None,None
449,PinusNigra,28,50,Dead,None,Dirt,None,28,65.38950786056049,RootFailure,None,None,None,None,None
450,PinusSylvestris,20,35,Good,None,Dirt,None,4,20.0,BranchFailure,None,None,None,None,None
451,PinusNigra,16,40,Poor,None,Dirt,None,14,40.0,StemFailure,None,None,None,None,None
452,AlnusRubra,17,55,Poor,None,Dirt,None,17,58.63636363636363,RootFailure,None,None,None,None,None
453,AlnusRubra,13,45,Dead,None,Dirt,None,12,51.0,StemFailure,None,None,None,None,None
454,AlnusRubra,14,55,Poor,None,Dirt,None,14,58.63636363636363,RootFailure,None,None,None,None,None
455,AcerMacrophyllum,18,55,Poor,None,Dirt,None,18,58.63636363636363,RootFailure,DecayOrganismPresent,None,None,None,KretzchmariaDuesta
456,CedrusDeodara,45,80,Good,None,Dirt,None,8,21.666666666666668,BranchFailure,None,None,None,None,None
457,CrataegusLaevigata,15,40,Good,None,Dirt,None,15,25.0,RootFailure,None,None,None,None,None
458,PinusSylvestris,18,50,Dead,None,Dirt,None,18,65.38950786056049,RootFailure,None,None,None,None,None
459,PiceaAbies,8,40,Dead,None,Dirt,None,18,63.75,RootFailure,None,None,None,None,None
460,PiceaAbies,10,44,Dead,None,Dirt,None,10,63.75,RootFailure,None,None,None,None,None
461,ThujaPlicata,30,100,Fair,NaturalArea,Dirt,"Wind,Rain",30,104.5,RootFailure,RootPlateLifted,None,None,None,None
462,PinusSylvestris,13,25,Good,None,Dirt,None,10,18.333333333333332,StemFailure,None,None,None,None,None
463,AcerMacrophyllum,73,40,Poor,NaturalArea,Clay,None,28,40.0,StemFailure,None,DecayPresent,None,None,KretzchmariaDuesta
464,PrunusLaurocerasus,15,15,Good,None,Dirt,None,5,21.140229885057472,BranchFailure,None,None,None,None,None
465,QuercusRubra,30,98,Good,"NaturalArea,Lawn",Clay,"Wind,Rain",30,98.0,RootFailure,"SoilFailure,RootPlateLifted",None,None,None,None
466,PrunusAvium,24,54,Fair,NaturalArea,Clay,"Wind,Rain",24,54.0,RootFailure,"SoilFailure,RootPlateLifted,BrokenRoots",None,None,None,None
467,CedrusAtlantica,38,65,Good,None,Dirt,"Rain,Wind",9,65.38950786056049,RootFailure,None,None,None,None,None
468,ChamecyparisPisifera,20,40,Fair,None,Dirt,"Wind,Rain",20,65.0,RootFailure,None,None,None,None,None
469,ThujaPlicata,26,55,Fair,None,Dirt,"Wind,Rain",38,42.0,StemFailure,None,None,None,None,None
470,PyrusCalleryana,17,35,Good,None,Dirt,"Wind,Rain",2,10.0,BranchFailure,None,None,None,None,None
471,PopulusNigra,38,65,Poor,None,Dirt,"Wind,Rain",47,49.1165611814346,StemFailure,None,None,None,None,None
472,AbiesGrandis,57,120,Fair,None,Dirt,"Wind,Rain",8,21.140229885057472,BranchFailure,None,None,None,None,None
473,PinusSylvestris,21,55,Good,None,Dirt,None,6,20.0,BranchFailure,None,None,None,None,None
474,QuercusRobur,13,40,Good,None,Dirt,None,5,21.140229885057472,BranchFailure,None,None,None,None,None
475,CrataegusLaevigata,6,20,Poor,None,Dirt,None,3,21.140229885057472,BranchFailure,None,None,None,None,None
476,PseudotsugaMenziesii,35,60,Fair,None,Dirt,"Wind,Rain",6,15.833333333333334,BranchFailure,None,None,None,None,None
477,QuercusRobur,31,80,Good,None,Dirt,"Wind,Rain",4,21.140229885057472,BranchFailure,None,None,None,None,None
478,PinusNigra,27,60,Good,None,Dirt,None,8,25.0,BranchFailure,None,None,None,None,None
479,PinusNigra,15,20,Dead,None,Dirt,None,14,40.0,StemFailure,None,None,None,None,None
480,PinusThunbergii,21,55,Fair,None,Dirt,None,3,21.140229885057472,BranchFailure,None,None,None,None,None
481,AcerMacrophyllum,41,45,Poor,None,Dirt,None,7,34.375,BranchFailure,None,None,None,None,None
482,AcerMacrophyllum,38,70,Good,None,Dirt,None,12,34.375,BranchFailure,None,None,None,None,None
483,AcerMacrophyllum,14,70,Dead,None,Dirt,None,11,57.333333333333336,StemFailure,None,None,None,None,None
484,AcerMacrophyllum,18,60,Dead,None,Dirt,None,14,57.333333333333336,StemFailure,None,None,None,None,None
485,AcerMacrophyllum,15,40,Dead,None,Dirt,None,15,58.63636363636363,RootFailure,None,None,None,None,None
486,AlnusRubra,7,40,Fair,None,Dirt,None,7,58.63636363636363,RootFailure,None,None,None,None,None
487,PopulusTrichocarpa,14,50,Poor,None,Dirt,None,14,92.0,RootFailure,None,None,None,None,None
488,PopulusTrichocarpa,40,80,Good,"Lawn,NaturalArea",Clay,Wind,12,35.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
489,CedrusDeodara,35,60,Good,UrbanEnviroment,Dirt,Wind,6,21.666666666666668,BranchFailure,None,None,None,None,None
490,CedrusDeodara,46,70,Good,None,Dirt,Wind,5,21.666666666666668,BranchFailure,None,None,None,None,None
491,SalixScouleriana,37,40,Poor,None,Dirt,Wind,37,65.38950786056049,RootFailure,None,None,None,None,None
492,AcerPlatanoides,30,40,Good,UrbanEnviroment,Clay,Rain,30,40.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,IncludedBark,Crack,Seam",None,None,None
493,PrunusX,24,25,Good,UrbanEnviroment,Clay,Rain,9,20.0,BranchFailure,None,None,"BreakatAttachment,BranchAngledUp,ExcessiveWeight,IncludedBark",Heartwood,None
494,AcerMacrophyllum,18,40,Good,SoilCompaction,Sandy,Wind,10,25.0,BranchFailure,None,None,"BranchAngledUp,Seam,CodominantAttachement",None,None
495,PinusContorta,20,55,Good,NaturalArea,Sandy,Wind,20,50.0,StemFailure,None,DecayPresent,None,Heartwood,CeriporopsisRivulosa
496,QuercusRubra,48,80,Good,UrbanEnviroment,Dirt,None,24,50.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,IncludedBark",None,None,None
497,QuercusRubra,32,45,Fair,SoilCompaction,Clay,None,8,35.0,BranchFailure,None,None,"Crack,DecayPresent","Sapwood,Decay<25%",None
498,QuercusGarryana,42,95,Good,NaturalArea,Clay,None,10,45.0,BranchFailure,None,None,"BreakatAttachment,OverExtendedBranch,DecayPresent",Sapwood,None
499,QuercusPalustris,56,100,Fair,None,Dirt,None,14,55.0,BranchFailure,None,None,"BreakatAttachment,BranchAngledUp,Crack,CodominantAttachement",None,None
500,PopulusTrichocarpa,38,120,Fair,"UrbanEnviroment,NaturalArea,SoilEroded,SteepSlope",Dirt,"Wind,Rain",42,120.0,RootFailure,"RootPlateLifted,BrokenRoots,DecayOrganismPresent",None,None,"Root,Decay>50%",None
501,QuercusPalustris,54,70,Good,UrbanEnviroment,Clay,"Wind,Rain",24,50.0,BranchFailure,None,None,"BreakatAttachment,BranchHorizontal,OverExtendedBranch,ExcessiveWeight,IncludedBark",None,None
502,PseudotsugaMenziesii,30,120,Fair,"NaturalArea,SoilEroded,SteepSlope",Sandy,None,30,110.0,RootFailure,"BrokenRoots,DecayOrganismPresent",None,None,Decay>25%,None
503,LiquidambarStyraciflua,26,35,Fair,"UrbanEnviroment,SoilCompaction",Clay,HighTemps,8,15.0,BranchFailure,None,None,"BreakatAttachment,BranchAngledDown,BranchHorizontal,Topping",None,None
